Jitter(local),Jitter(local),Jitter (rap),"Jitter(local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ppq5),Jitter (ddp),Jitter (ddp),Shimmer (local),Shimmer (local),"Shimmer (local, db)",Shimmer (apq3),Shimmer (apq3),Shimmer (apq5),Shimmer (apq5),Shimmer (apq11),Shimmer (apq11),Shimmer (dda),Shimmer (dda),AC,NDH,HTM,Median Pitch,Mean Pitch,Standard deviation,Minimum pitch,Maximum pitch,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of locally unvoiced frames,Fraction of locally unvoiced frames,Number of voice breaks,Degree of voice breaks,Degree of voice breaks,status
0.0148800,1.488,0.009000,9.02130000E-05,0.9,0.00794,0.794,0.02699,2.699,0.08334,8.334,0.779,0.04517,4.517,0.04609,4.609,0.06802,6.802,0.13551,13.551,0.905905,0.119116,11.13,166.533,164.781,10.421,142.229,187.576,160,159,0.006064725,0.000416276,0,0,0,0,0,1
0.0072800,0.728,0.003530,3.76980000E-05,0.353,0.00376,0.376,0.01059,1.059,0.05864,5.864,0.642,0.02058,2.058,0.0318,3.18,0.07194,7.194,0.06175,6.175,0.951285,0.066758,17.403,195.252,193.289,14.773,159.515,234.505,170,169,0.005181253,0.000403494,0.02247,2.247,0,0,0,1
0.0122000,1.22,0.007320,7.40410000E-05,0.732,0.0067,0.67,0.02196,2.196,0.08719,8.719,0.875,0.04347,4.347,0.05166,5.166,0.07548,7.548,0.1304,13.04,0.911508,0.109983,12.212,158.689,164.768,12.981,146.445,211.442,1431,1427,0.006070749,0.000474289,0.10656,10.656,1,0.00178,0.178,1
0.0250200,2.502,0.011560,1.22824000E-04,1.156,0.01634,1.634,0.03469,3.469,0.13513,13.513,1.273,0.05263,5.263,0.08771,8.771,0.16779,16.779,0.15789,15.789,0.901302,0.121982,11.384,201.997,203.471,10.853,182.713,220.23,94,92,0.004910018,0.000319794,0,0,0,0,0,1
0.0350900,3.509,0.017150,1.66927000E-04,1.715,0.01539,1.539,0.05145,5.145,0.09112,9.112,1.04,0.03102,3.102,0.04927,4.927,0.12823,12.823,0.09307,9.307,0.856907,0.236831,10.653,211.887,208.44,11.499,182.821,225.162,117,114,0.004757233,0.000379996,0.18182,18.182,1,0.13318,13.318,1
0.0247000,2.47,0.013580,1.26412000E-04,1.358,0.01341,1.341,0.04075,4.075,0.10696,10.696,1.256,0.05262,5.262,0.07076,7.076,0.09199,9.199,0.15787,15.787,0.897708,0.152955,11.987,195.952,195.222,4.692,186.593,202.812,74,73,0.005117622,0.000187458,0.23214,23.214,0,0,0,1
0.0158300,1.583,0.007680,8.23050000E-05,0.768,0.00864,0.864,0.02303,2.303,0.09057,9.057,1.07,0.03794,3.794,0.05158,5.158,0.0767,7.67,0.11381,11.381,0.935717,0.078695,13.705,195.535,192.316,7.512,177.299,200.638,85,84,0.005199229,0.000245254,0.04348,4.348,0,0,0,1
0.0192000,1.92,0.009260,9.86250000E-05,0.926,0.01031,1.031,0.02777,2.777,0.10184,10.184,1.108,0.0365,3.65,0.04611,4.611,0.07127,7.127,0.10951,10.951,0.898598,0.147518,12.4,196.745,194.284,5.979,181.465,201.921,71,70,0.005137138,0.000214895,0.33929,33.929,0,0,0,1
0.0225700,2.257,0.012390,1.19196000E-04,1.239,0.0153,1.53,0.03716,3.716,0.08044,8.044,0.877,0.03449,3.449,0.04239,4.239,0.07654,7.654,0.10346,10.346,0.877616,0.217236,12.831,191.345,185.423,21.878,86.139,210.523,107,104,0.005282166,0.00034787,0.15152,15.152,2,0.0981,9.81,1
0.0159400,1.594,0.008500,8.50400000E-05,0.85,0.00951,0.951,0.0255,2.55,0.072,7.2,0.823,0.0248,2.48,0.03826,3.826,0.09228,9.228,0.0744,7.44,0.917596,0.112336,14.039,190.838,187.775,10.087,166.895,203.133,113,112,0.005335094,0.000332135,0,0,0,0,0,1
0.0228600,2.286,0.010810,1.22261000E-04,1.081,0.01257,1.257,0.03243,3.243,0.08994,8.994,0.938,0.03386,3.386,0.05646,5.646,0.11253,11.253,0.10157,10.157,0.881269,0.168753,11.084,192.349,188.506,10.386,167.436,202.273,95,93,0.005348273,0.000374082,0.21212,21.212,1,0.07819,7.819,1
0.0172800,1.728,0.008070,9.26150000E-05,0.807,0.01056,1.056,0.02422,2.422,0.09779,9.779,0.984,0.041,4.1,0.06374,6.374,0.09107,9.107,0.12299,12.299,0.890381,0.152535,11.97,189.213,186.832,11.257,162.412,201.261,97,95,0.005360312,0.000365944,0.07143,7.143,1,0.08449,8.449,1
0.0210500,2.105,0.009020,1.09648000E-04,0.902,0.01076,1.076,0.02707,2.707,0.06163,6.163,0.718,0.02403,2.403,0.03163,3.163,0.05009,5.009,0.07208,7.208,0.886134,0.188092,14.644,193.824,192.37,7.748,171.394,217.449,107,104,0.005207794,0.000646434,0,0,0,0,0,1
0.0334300,3.343,0.013490,1.64283000E-04,1.349,0.01826,1.826,0.04047,4.047,0.12619,12.619,1.316,0.05287,5.287,0.0767,7.67,0.15858,15.858,0.15862,15.862,0.767751,0.401774,6.754,208.781,204.866,21.351,156.807,239.789,205,200,0.004913954,0.000615819,0.35849,35.849,3,0.29424,29.424,1
0.0202500,2.025,0.010280,9.92980000E-05,1.028,0.01251,1.251,0.03084,3.084,0.11047,11.047,1.244,0.04223,4.223,0.05973,5.973,0.12467,12.467,0.1267,12.67,0.891718,0.151406,11.866,204,204.431,17.543,154.02,231.704,249,247,0.004904438,0.00046058,0.18543,18.543,1,0.19702,19.702,1
0.0251700,2.517,0.011600,1.18023000E-04,1.16,0.0135,1.35,0.03479,3.479,0.14327,14.327,1.359,0.0582,5.82,0.09451,9.451,0.18515,18.515,0.17461,17.461,0.821869,0.283381,8.432,218.121,213.528,17.347,152.524,238.611,205,203,0.004689009,0.00043491,0.46907,46.907,1,0.25694,25.694,1
0.0329000,3.29,0.015670,1.49035000E-04,1.567,0.01822,1.822,0.04702,4.702,0.12714,12.714,1.363,0.04259,4.259,0.06697,6.697,0.15432,15.432,0.12778,12.778,0.853435,0.20711,9.847,218.273,220.118,31.456,132.023,270.998,265,260,0.004530313,0.000702784,0.37745,37.745,3,0.26397,26.397,1
0.0553400,5.534,0.023800,2.58089000E-04,2.38,0.03171,3.171,0.0714,7.14,0.1354,13.54,1.512,0.06187,6.187,0.10903,10.903,0.16528,16.528,0.1856,18.56,0.715071,0.503734,5.139,206.243,215.207,17.874,189.858,249.317,55,52,0.004663458,0.000515417,0.30303,30.303,2,0.10936,10.936,1
0.0113700,1.137,0.004730,5.35240000E-05,0.473,0.00608,0.608,0.01418,1.418,0.08963,8.963,0.936,0.02998,2.998,0.05017,5.017,0.11826,11.826,0.08995,8.995,0.923972,0.094186,14.819,216.478,212.661,16.789,176.776,238.226,96,95,0.004706454,0.000388579,0.13559,13.559,0,0,0,1
0.0216200,2.162,0.012170,9.94420000E-05,1.217,0.01059,1.059,0.03651,3.651,0.11294,11.294,1.019,0.04621,4.621,0.05878,5.878,0.11646,11.646,0.13864,13.864,0.915221,0.112466,12.562,218.247,216.358,10.329,183.681,229.597,88,87,0.004599888,0.000278232,0.13462,13.462,0,0,0,1
0.0153300,1.533,0.004620,7.62300000E-05,0.462,0.0034,0.34,0.01387,1.387,0.09921,9.921,0.956,0.03153,3.153,0.05111,5.111,0.08569,8.569,0.09458,9.458,0.874335,0.200621,11.82,200.023,200.385,23.693,139.146,230.593,99,97,0.004972112,0.000641998,0.16949,16.949,0,0,0,1
0.0278300,2.783,0.012210,1.35293000E-04,1.221,0.01338,1.338,0.03663,3.663,0.14779,14.779,1.374,0.05009,5.009,0.0916,9.16,0.22177,22.177,0.15027,15.027,0.792154,0.329135,7.225,207.392,206.26,24.291,138.236,247.715,101,98,0.004861469,0.00065103,0.29412,29.412,1,0.03175,3.175,1
0.0399900,3.999,0.019280,1.87606000E-04,1.928,0.02231,2.231,0.05784,5.784,0.16509,16.509,1.363,0.07845,7.845,0.11732,11.732,0.16951,16.951,0.23535,23.535,0.757837,0.386043,5.75,209.238,213.78,21.285,169.74,245.629,81,79,0.004691482,0.000520954,0.36066,36.066,1,0.18924,18.924,1
0.0222700,2.227,0.010140,1.05967000E-04,1.014,0.01418,1.418,0.03043,3.043,0.1165,11.65,1.03,0.04018,4.018,0.06837,6.837,0.18322,18.322,0.12053,12.053,0.864694,0.202693,10.224,208.71,210.295,15.966,179.942,240.225,100,99,0.004757372,0.000397639,0.11321,11.321,0,0,0,1
0.0172800,1.728,0.008110,7.88650000E-05,0.811,0.0082,0.82,0.02433,2.433,0.12257,12.257,1.066,0.04765,4.765,0.08437,8.437,0.15479,15.479,0.14295,14.295,0.865475,0.187481,10.09,211.747,219.549,20.05,172.461,260.814,101,99,0.004563774,0.000424291,0.07407,7.407,1,0.03648,3.648,1
0.0263800,2.638,0.014180,1.23954000E-04,1.418,0.01477,1.477,0.04253,4.253,0.08977,8.977,0.827,0.02936,2.936,0.04644,4.644,0.08139,8.139,0.08807,8.807,0.880416,0.200366,12.549,207.941,213.566,16.238,187.725,252.802,93,92,0.004698063,0.000366663,0.16667,16.667,0,0,0,1
0.0042700,0.427,0.002430,3.44760000E-05,0.243,0.00249,0.249,0.00728,0.728,0.07428,7.428,0.694,0.04205,4.205,0.04311,4.311,0.0525,5.25,0.12616,12.616,0.966394,0.035275,15.267,124.171,123.883,2.179,118.461,129.205,345,344,0.008072824,0.00014341,0,0,0,0,0,1
0.0084400,0.844,0.005090,6.89850000E-05,0.509,0.00489,0.489,0.01527,1.527,0.14053,14.053,1.239,0.06131,6.131,0.07015,7.015,0.0926,9.26,0.18394,18.394,0.896374,0.132884,10.747,122.22,122.381,1.65,118.02,126.788,585,582,0.008173798,0.000122852,0.00209,0.209,2,0.00768,0.768,1
0.0126400,1.264,0.007910,1.00503000E-04,0.791,0.00676,0.676,0.02373,2.373,0.16872,16.872,1.504,0.09316,9.316,0.09771,9.771,0.13811,13.811,0.27949,27.949,0.918077,0.097902,11.493,126.074,125.781,1.995,119.406,134.861,557,556,0.00795316,0.000149089,0,0,0,0,0,1
0.0287700,2.877,0.012500,2.44132000E-04,1.25,0.01323,1.323,0.03749,3.749,0.13719,13.719,1.275,0.04169,4.169,0.0584,5.84,0.12847,12.847,0.12507,12.507,0.859335,0.195964,11.073,120.804,118.96,6.834,92.504,126.032,43,42,0.008486363,0.000755513,0,0,0,0,0,1
0.0405200,4.052,0.018290,3.13260000E-04,1.829,0.02676,2.676,0.05487,5.487,0.1614,16.14,1.425,0.07619,7.619,0.11598,11.598,0.24421,24.421,0.22857,22.857,0.807478,0.280498,7.591,131.474,128.817,14.766,102.618,173.436,58,56,0.007731136,0.000979256,0.13462,13.462,1,0.17289,17.289,1
